gene_id	product	subfamily	contrast	log2FC	padj	direction
LOC110904457	probable aquaporin PIP2-4	PIP	Cold	3.127	1.41e-06	up
LOC110904457	probable aquaporin PIP2-4	PIP	Salt_NaCl	-2.186	1.06e-08	down
LOC110904457	probable aquaporin PIP2-4	PIP	Drought_7d	-1.212	0.00926	down
LOC110904457	probable aquaporin PIP2-4	PIP	Drought_14d	-2.880	1.41e-11	down
LOC110904457	probable aquaporin PIP2-4	PIP	Drought_21d	-1.720	0.000279	down
LOC110904457	probable aquaporin PIP2-4	PIP	Sclerotinia	1.161	0.0047	up
LOC110904457	probable aquaporin PIP2-4	PIP	Orobanche_B	-1.612	9.98e-07	down
LOC110904457	probable aquaporin PIP2-4	PIP	Orobanche_E	-1.455	6.52e-06	down
LOC110904450	probable aquaporin PIP2-4	PIP	Cold	3.198	3.61e-08	up
LOC110904450	probable aquaporin PIP2-4	PIP	Salt_NaCl	1.468	0.014	up
LOC110904450	probable aquaporin PIP2-4	PIP	Drought_7d	-1.368	0.00183	down
LOC110904450	probable aquaporin PIP2-4	PIP	Drought_14d	-1.534	0.000245	down
LOC110904451	probable aquaporin PIP2-4	PIP	Cold	3.242	3.03e-10	up
LOC110904451	probable aquaporin PIP2-4	PIP	Drought_14d	-1.962	0.00137	down
LOC110904451	probable aquaporin PIP2-4	PIP	Drought_21d	-1.465	0.0355	down
LOC110904451	probable aquaporin PIP2-4	PIP	Orobanche_B	-1.398	1.47e-05	down
LOC110904451	probable aquaporin PIP2-4	PIP	Orobanche_E	-1.002	0.00184	down
LOC110868884	probable aquaporin PIP2-5	PIP	Cold	4.023	3.39e-41	up
LOC110868884	probable aquaporin PIP2-5	PIP	Heat	1.204	0.0238	up
LOC110868884	probable aquaporin PIP2-5	PIP	Salt_NaCl	1.133	0.00253	up
LOC110868884	probable aquaporin PIP2-5	PIP	Drought_7d	-2.567	7.24e-08	down
LOC110868884	probable aquaporin PIP2-5	PIP	Drought_14d	-2.296	9.69e-07	down
LOC110868884	probable aquaporin PIP2-5	PIP	PEG_72h	-1.673	1.01e-08	down
LOC110904925	probable aquaporin PIP1-4	PIP	Cold	4.121	2.98e-06	up
LOC110904925	probable aquaporin PIP1-4	PIP	Salt_NaCl	1.689	0.00445	up
LOC110904925	probable aquaporin PIP1-4	PIP	Drought_14d	1.549	0.0265	up
LOC110904925	probable aquaporin PIP1-4	PIP	Orobanche_B	-1.665	0.002	down
LOC110904925	probable aquaporin PIP1-4	PIP	Orobanche_E	-1.187	0.025	down
LOC110906290	probable aquaporin TIP5-1	TIP	Cold	4.025	0.026	up
LOC110906290	probable aquaporin TIP5-1	TIP	Drought_7d	1.659	0.0199	up
LOC110911072	aquaporin NIP2-1	NIP	Cold	5.348	0.00282	up
LOC110911072	aquaporin NIP2-1	NIP	Drought_14d	-2.982	0.00468	down
LOC110911072	aquaporin NIP2-1	NIP	Orobanche_B	3.237	0.00012	up
LOC110911072	aquaporin NIP2-1	NIP	Orobanche_C	3.361	6.69e-05	up
LOC110911072	aquaporin NIP2-1	NIP	Orobanche_D	2.287	0.00809	up
LOC110911072	aquaporin NIP2-1	NIP	Orobanche_E	4.096	1.56e-07	up
LOC110886457	aquaporin NIP2-1	NIP	Cold	2.078	2.32e-16	up
LOC110886457	aquaporin NIP2-1	NIP	Heat	-1.339	0.0192	down
LOC110886457	aquaporin NIP2-1	NIP	Salt_NaCl	-3.037	2.31e-18	down
LOC110886457	aquaporin NIP2-1	NIP	Drought_14d	-1.992	0.000124	down
LOC110911125	aquaporin NIP2-1	NIP	Heat	-1.089	4.64e-06	down
LOC110911125	aquaporin NIP2-1	NIP	Salt_NaCl	1.400	2.18e-17	up
LOC110911125	aquaporin NIP2-1	NIP	Drought_7d	1.139	0.0163	up
LOC110911125	aquaporin NIP2-1	NIP	Drought_14d	1.581	0.000325	up
LOC110911125	aquaporin NIP2-1	NIP	Orobanche_B	2.178	6.88e-15	up
LOC110911759	aquaporin NIP1-1	NIP	Orobanche_B	-1.712	0.0361	down
LOC110911759	aquaporin NIP1-1	NIP	Orobanche_E	-2.094	0.00559	down
LOC110911761	aquaporin NIP1-1	NIP	Cold	1.093	0.000172	up
LOC110911761	aquaporin NIP1-1	NIP	Heat	-2.872	1.04e-26	down
LOC110911761	aquaporin NIP1-1	NIP	Drought_14d	-2.120	0.000258	down
LOC110911761	aquaporin NIP1-1	NIP	Drought_21d	-1.521	0.0232	down
LOC110911761	aquaporin NIP1-1	NIP	Orobanche_B	-1.565	0.0394	down
LOC110911761	aquaporin NIP1-1	NIP	Orobanche_C	-1.629	0.0272	down
LOC110912639	probable aquaporin TIP3-2	TIP	Drought_21d	-3.391	0.0131	down
LOC110912639	probable aquaporin TIP3-2	TIP	PEG_72h	1.930	1.42e-05	up
LOC110912639	probable aquaporin TIP3-2	TIP	Flooding	1.504	0.000796	up
LOC110880175	aquaporin TIP2-1	TIP	Cold	1.633	2.25e-15	up
LOC110880175	aquaporin TIP2-1	TIP	Drought_7d	-4.399	5.49e-09	down
LOC110880175	aquaporin TIP2-1	TIP	Drought_14d	-5.332	5.09e-13	down
LOC110880175	aquaporin TIP2-1	TIP	PEG_72h	-3.263	1.05e-08	down
LOC110916291	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_E	-2.003	0.000114	down
LOC110916097	probable aquaporin TIP-type	TIP	Cold	2.123	0.000544	up
LOC110916097	probable aquaporin TIP-type	TIP	Drought_7d	-3.113	2.59e-06	down
LOC110916097	probable aquaporin TIP-type	TIP	Drought_14d	-4.776	5.57e-13	down
LOC110916097	probable aquaporin TIP-type	TIP	PEG_72h	-1.549	0.000729	down
LOC110916097	probable aquaporin TIP-type	TIP	Sclerotinia	-1.442	1.09e-07	down
LOC110916097	probable aquaporin TIP-type	TIP	Orobanche_B	-1.074	0.0193	down
LOC110916097	probable aquaporin TIP-type	TIP	Orobanche_C	-1.275	0.00388	down
LOC110916097	probable aquaporin TIP-type	TIP	Orobanche_E	-2.097	1.66e-07	down
LOC110937771	aquaporin TIP3-1	TIP	Salt_NaCl	5.587	0.000448	up
LOC110937771	aquaporin TIP3-1	TIP	Drought_7d	5.226	1.14e-08	up
LOC110937771	aquaporin TIP3-1	TIP	Drought_14d	7.047	1.87e-15	up
LOC110937771	aquaporin TIP3-1	TIP	Drought_21d	2.319	0.0356	up
LOC110926365	probable aquaporin NIP5-1	NIP	Cold	3.276	2.1e-07	up
LOC110926365	probable aquaporin NIP5-1	NIP	Drought_7d	-2.577	0.000126	down
LOC110926365	probable aquaporin NIP5-1	NIP	Drought_14d	-2.726	2.72e-05	down
LOC110926365	probable aquaporin NIP5-1	NIP	Drought_21d	-2.045	0.00534	down
